username,tag,region
ILS0niiC,MyG,latam
ttv Whiith1,alo,latam
muffinn,TGP,latam
KLG Zebeej,898,latam
KRÜ ganterr,Anais,latam
anxious,bye,latam
9z MikeyTrap,GOAT,latam
TrocadoR,ruko,latam
Harlocks,flama,latam
xReNdø,qRaxs,latam
AG pituF0,JOTA,latam
Twitch NaNoWfps,AORUS,latam
AUS TAFG,14y,latam
KLG DarkZIN,Кири,latam
FENNY1,1337,latam
Vicras17,darkk,latam
osunoob2,weiyo,latam
QV Naist,Aspas,latam
GalaxY,oooo,latam
ChainsofOlimpus,kita,latam
free durk,utz,latam
javierjjvhz96,jvhz,latam
Hetzen,1MORE,latam
AUS 21,2121,latam
DG c0ldd,616,latam
fumo,pucho,latam
